"s","lauchDate","deactivated"
"http://data.globalchange.gov/platform/advanced-land-observing-satellite-2",2014-05-24 00:00:00,2019-05-01 00:00:00
"http://data.globalchange.gov/platform/global-change-observation-mission-w1",2012-05-18 00:00:00,2017-05-01 00:00:00
"http://data.globalchange.gov/platform/geostationary-meteorogical-satellite-5",1995-03-18 00:00:00,2005-06-01 00:00:00
"http://data.globalchange.gov/platform/global-precipitation-measurement-mission-core-spacecraft",2014-02-27 00:00:00,2017-05-01 00:00:00
"http://data.globalchange.gov/platform/japanese-earth-resource-satellite",1992-02-11 00:00:00,1998-10-12 00:00:00
"http://data.globalchange.gov/platform/korea-multi-purpose-satellite-5",2013-08-22 00:00:00,2017-08-01 00:00:00
"http://data.globalchange.gov/platform/solar-radiation-and-climate-experiment",2003-01-25 00:00:00,2015-10-01 00:00:00
"http://data.globalchange.gov/platform/stratospheric-aerosol-and-gas-experiment-applications-explorer-mission-2",1979-02-18 00:00:00,1981-11-19 00:00:00
"http://data.globalchange.gov/platform/nimbus-4",1970-04-15 00:00:00,1980-09-30 00:00:00
"http://data.globalchange.gov/platform/nimbus-7",1978-10-24 00:00:00,1994-10-01 00:00:00
"http://data.globalchange.gov/platform/orbiting-carbon-observatory",2009-02-24 00:00:00,2009-02-24 00:00:00
"http://data.globalchange.gov/platform/ice-cloud-and-land-elevation-satellite",2003-01-12 00:00:00,2010-08-14 00:00:00
